Income,Gender,Age,Age Range,Political Affiliation ,Do you approve or disapprove of how Donald Trump is handling his job as president?,What is your highest level of education?,Q6OTH1,What is your race?,Q5OTH1,"From what you have heard or seen, do you mostly agree or mostly disagree with the beliefs of White Nationalists?","If you had to guess, what percentage of Republicans would say that they mostly agree with the beliefs of White Nationalists?",q8x,Would you say that you love America?,"If you had to guess, what percentage of Democrats would say that they love America?",q10x,Do you think that government policies should help those who are poor and struggling in America?,"If you had to guess, what percentage of Republicans would say yes to that question?",Do you think that most white people in America are racist?,"If you had to guess, what percentage of Democrats would say yes to that question?",Have you lost any friendships or other relationships as a result of the 2016 presidential election?,Do you think it is likely or unlikely that there will be a Civil War in the United States within the next decade?,Have you ever gone hunting?,Have you ever eaten a kale salad?,"If Dwayne ""The Rock"" Johnson ran for president as a candidate for your political party, would you vote for him?","Who would you prefer as president of the United States, Darth Vader or Donald Trump?"
47000,Female,76,65+,Strong Democrat,Approve,College degree,,White,,Disagree,0,,Yes,100,,Yes,100,No,100,No,Unlikely,No,No,Yes,DK/REF
,Female,51,45-54,Independent,Disapprove,College degree,,Black,,Disagree,70,,Yes,50,,Yes,60,No,50,No,Unlikely,No,No,DK/REF,Darth Vader
,Female,58,55-64,Independent,Disapprove,Some college,,White,,Disagree,40,,Yes,60,,Yes,40,No,30,No,Unlikely,No,Yes,No,Darth Vader
,Male,60,55-64,Strong Republican,Approve,College degree,,White,,Disagree,0,,Yes,100,,Yes,99,No,40,No,Unlikely,Yes,No,DK/REF,Donald Trump
,Female,51,45-54,Independent,DK/REF,High school,,White,,DK/REF,,DK/REF,Yes,,DK/REF,Yes,,No,,No,Unlikely,No,Yes,No,DK/REF
,Female,30,25-34,Independent,Disapprove,Some college,,White,,Agree,80,,Yes,87,,Yes,30,Yes,80,Yes,Likely,No,Yes,Yes,Darth Vader
,Male,76,65+,Not Strong Republican,Approve,High school,,White,,DK/REF,,DK/REF,Yes,25,,Yes,90,No,90,No,Likely,Yes,Yes,No,Donald Trump
,Male,30,25-34,Strong Democrat,Disapprove,Graduate degree,,White,,Disagree,50,,Yes,95,,Yes,5,No,45,No,Unlikely,Yes,No,No,Darth Vader
,Male,20,18-24,Independent,Disapprove,Some college,,White,,Agree,35,,Yes,75,,Yes,77,No,45,No,Unlikely,Yes,Yes,Yes,Donald Trump
,Female,46,45-54,Not Strong Democrat,Disapprove,College degree,,White,,Disagree,5,,Yes,100,,Yes,100,No,75,No,Unlikely,No,No,No,Donald Trump
,Female,26,25-34,Independent,Disapprove,High school,,White,,Disagree,5,,Yes,100,,Yes,50,No,100,No,Likely,Yes,No,No,Darth Vader
,Female,45,45-54,Strong Democrat,Disapprove,High school,,White,,Disagree,50,,Yes,75,,Yes,25,No,50,No,Unlikely,Yes,Yes,DK/REF,DK/REF
,Female,72,65+,Strong Democrat,Disapprove,High school,,White,,DK/REF,,DK/REF,Yes,75,,No,100,Yes,75,No,Likely,No,No,Yes,Donald Trump
,Male,21,18-24,Strong Democrat,Disapprove,Some college,,White,,Disagree,10,,Yes,70,,Yes,50,No,40,No,Unlikely,No,Yes,No,Donald Trump
,Female,28,25-34,Not Strong Democrat,Approve,Some college,,White,,DK/REF,50,,Yes,90,,Yes,50,No,50,No,Likely,Yes,No,DK/REF,Donald Trump
,Male,67,65+,Not Strong Republican,Approve,Some college,,White,,DK/REF,50,,Yes,60,,Yes,50,No,60,No,Unlikely,Yes,Yes,DK/REF,Donald Trump
,Male,70,65+,Strong Republican,Approve,Some college,,White,,DK/REF,60,,Yes,100,,No,75,No,50,No,Likely,Yes,No,Yes,Donald Trump
,Female,35,35-44,Strong Republican,Approve,Graduate degree,,Other,Native American,Disagree,1,,Yes,20,,Yes,50,No,80,No,Unlikely,No,Yes,Yes,Donald Trump
,Female,50,45-54,Strong Republican,Approve,College degree,,Other,Native American,DK/REF,5,,Yes,50,,Yes,50,No,85,No,Unlikely,Yes,Yes,No,Donald Trump
,Male,50,45-54,Not Strong Republican,Disapprove,Graduate degree,,White,,Agree,55,,Yes,89,,Yes,45,No,10,No,Unlikely,Yes,Yes,No,Donald Trump
,Female,78,65+,Strong Republican,Approve,Some college,,White,,DK/REF,1,,Yes,20,,Yes,70,No,40,No,Likely,Yes,No,No,Donald Trump
,Female,45,45-54,Independent,Disapprove,College degree,,White,,Disagree,60,,Yes,100,,Yes,40,Yes,50,Yes,Unlikely,No,Yes,No,Darth Vader
,Male,37,35-44,Not Strong Republican,Approve,College degree,,White,,Disagree,0,,Yes,50,,No,40,No,90,No,Unlikely,Yes,No,DK/REF,Donald Trump
,Female,53,45-54,Not Strong Democrat,Approve,High school,,White,,Disagree,50,,Yes,100,,Yes,100,Yes,75,No,Likely,No,No,No,Donald Trump
,Male,49,45-54,Not Strong Democrat,Disapprove,High school,,Latino,,Disagree,50,,Yes,80,,Yes,30,No,50,No,Unlikely,Yes,No,No,Donald Trump
,Other,25,25-34,DK/REF,Disapprove,Some college,,White,,Disagree,90,,Yes,100,,Yes,10,No,10,No,Unlikely,Yes,Yes,No,Donald Trump
,Male,78,65+,Strong Republican,Approve,Graduate degree,,White,,Disagree,10,,Yes,75,,No,50,No,60,No,Unlikely,No,No,No,DK/REF
,Female,71,65+,Independent,Approve,High school,,Other,Native American,Agree,,DK/REF,Yes,100,,Yes,100,Yes,,No,Likely,No,No,No,DK/REF
,Male,58,55-64,Independent,Approve,High school,,Latino,,Disagree,50,,Yes,,DK/REF,Yes,90,No,70,No,Unlikely,No,No,No,Donald Trump
153000,Female,34,25-34,Not Strong Republican,Approve,Graduate degree,,White,,Disagree,12,,Yes,70,,Yes,80,No,25,No,Unlikely,Yes,Yes,No,Donald Trump
7000,Male,59,55-64,Strong Democrat,Disapprove,High school,,Latino,,Disagree,1,,Yes,1,,Yes,1,Yes,1,No,Unlikely,Yes,No,No,Darth Vader
32000,Female,63,55-64,Strong Democrat,Disapprove,College degree,,White,,DK/REF,,DK/REF,Yes,100,,Yes,75,No,10,No,Unlikely,No,No,DK/REF,DK/REF
15000,Female,67,65+,DK/REF,Disapprove,High school,,Black,,Disagree,,DK/REF,Yes,,DK/REF,Yes,,No,,No,DK/REF,No,No,DK/REF,DK/REF
100000,Female,42,35-44,Strong Democrat,Disapprove,Some college,,Black,,Disagree,40,,Yes,50,,Yes,20,No,40,No,Likely,Yes,Yes,Yes,Darth Vader
12000,Male,73,65+,Independent,Disapprove,College degree,,Latino,,Agree,75,,Yes,100,,Yes,50,No,75,No,Likely,No,Yes,No,DK/REF
18000,Male,47,45-54,Independent,Approve,High school,,White,,Disagree,10,,Yes,100,,No,60,No,5,No,Unlikely,Yes,No,No,Donald Trump
9000,DK/REF,76,65+,Independent,Disapprove,High school,,Black,,Disagree,,DK/REF,Yes,1,,No,,No,,No,DK/REF,No,No,DK/REF,DK/REF
9000,Female,44,35-44,Strong Republican,Approve,Some college,,White,,DK/REF,0,,Yes,,DK/REF,Yes,80,No,,No,Unlikely,No,No,No,Donald Trump
